,Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Phase
39,8,1212-013,1,A&B Tool Rentals Ltd,4 Space heaters,DYS,0.0,0.0,0.0,01-51-23
40,8,1212-013,2,A&B Tool Rentals Ltd,4 space heaters,LS,0.0,0.0,240.0,01-51-23
41,8,1212-014,1,Airstream Heating and Air Conditioning Inc.,Supply 14 aluminum 12 x 12 deflectors; painted black 1 side,EA,14.0,16.0,224.0,21-10-14
43,8,1212-015,2,Westcoast Cutting & Coring Ltd.,"Coring (3) washroom holes 2' x 6 """,EA,3.0,0.0,0.0,03-80-11
44,8,1212-015,3,Westcoast Cutting & Coring Ltd.,"Coring radiator holes 3"" ",EA,4.0,0.0,0.0,03-80-11
45,8,1212-017,1,A&B Tool Rentals Ltd,"2 Fans  20"" air mover May 26",LS,0.0,0.0,154.0,01-52-25
49,8,1212-018,4,Peak Disposal Services Inc.,Dump & Return - 36055,LS,0.0,0.0,330.0,01-74-13
50,8,1212-018,5,Peak Disposal Services Inc.,Dump & Return - 35756,LS,0.0,0.0,330.0,01-74-13
51,8,1212-018,6,Peak Disposal Services Inc.,Dump & Return - 35812,LS,0.0,0.0,330.0,01-74-13
52,8,1212-018,7,Peak Disposal Services Inc.,Dump & Return - 35941,LS,0.0,0.0,330.0,01-74-13
53,8,1212-018,8,Peak Disposal Services Inc.,Dump & Return - 36244,LS,0.0,0.0,330.0,01-74-13
54,8,1212-018,9,Peak Disposal Services Inc.,Dump 12 yard - overweight,LS,0.0,0.0,375.9,01-74-13
55,8,1212-020,1,Westcoast Cutting & Coring Ltd.,"Core 2"" & 3"" x 6""  8""  20""",LS,0.0,0.0,780.0,03-80-11
56,8,1212-028,1,Advanced Mobile First Aid & Safety Inc.,Sodium Choride Irrigation,LS,0.0,0.0,17.7,01-52-17
57,8,1212-028,2,Advanced Mobile First Aid & Safety Inc.,Gloves,LS,0.0,0.0,47.4,01-52-17
58,8,1212-028,3,Advanced Mobile First Aid & Safety Inc.,Dust Bain,LS,0.0,0.0,59.85,01-52-17
59,8,1212-028,4,Advanced Mobile First Aid & Safety Inc.,Eye wash cup,LS,0.0,0.0,3.25,01-52-17
60,8,1212-029,1,Vision West Products Ltd.,S&I 12mm glazing panel,LS,0.0,0.0,905.0,08-43-26
64,8,1212-036,2,Shanahan's,Electric strikes to 2 frames,LS,0.0,0.0,107.0,08-71-11
65,8,1212-036,3,Shanahan's,Electric strikes to 2 doors,LS,0.0,0.0,481.0,08-71-11
66,8,1212-037,1,Vancouver Fire & Radius Security,Fire and safety plan,LS,0.0,0.0,1248.0,10-41-10
67,8,1212-037,2,Vancouver Fire & Radius Security,Metal Photo etched plaques,LS,0.0,0.0,212.0,10-41-10
68,8,1212-037,4,Vancouver Fire & Radius Security,Shipping,LS,0.0,0.0,35.0,10-41-10
69,8,1212-038,1,Dick's Lumber,Bosch glass & tile drill bit,LS,0.0,0.0,9.54,01-52-23
70,8,1212-038,2,Dick's Lumber,Boss cobalt drill bit,LS,0.0,0.0,10.84,01-52-23
72,8,1212-041,1,Vancouver Fire & Radius Security,Supply fire extinguishers,LS,0.0,0.0,265.0,10-41-10
73,8,1212-041,2,Vancouver Fire & Radius Security,Delivery,LS,0.0,0.0,45.0,10-41-10
75,8,1212-042,2,All Painting Ltd.,Revised colors painting,LS,0.0,0.0,1155.0,09-91-40
76,8,1212-043,1,Franklin Woodcraft,Install Door  Hardware,LS,0.0,0.0,1750.0,08-71-11
77,8,1212-044,1,Bomex Tile Inc.,S&I rock tile,LS,0.0,0.0,1260.0,9/30/1960
79,8,1212-047,1,Vision West Products Ltd.,Corner Guards,LS,0.0,0.0,2051.0,10/26/2013
80,8,1212-047,2,Vision West Products Ltd.,Interior Flashing,LS,0.0,0.0,1956.0,05-50-10
81,8,1212-047,3,Vision West Products Ltd.,Glazing to end wall,LS,0.0,0.0,446.0,08-43-13
82,8,1212-050,1,Franklin Woodcraft,RE & Re 2 washroom doors,LS,0.0,0.0,225.0,8/11/2013
84,8,1212-053,1,Robertson Walls & Ceilings,S&I labour & materials to repair classroom wall,LS,0.0,0.0,880.0,9/21/2017
86,8,1213-001,1,Pacific EHS,Bulk Sampling - Asbestos/Lead,LS,0.0,0.0,1820.0,01-45-12
88,8,1213-001,3,Pacific EHS,Disbursements,LS,0.0,0.0,0.0,01-45-12
90,8,1213-002,2,H. B. Roofing Company Ltd.,Flashing for 8 skylights,EA,8.0,50.0,400.0,07-62-10
91,8,1213-002,4,H. B. Roofing Company Ltd.,Skylight Install,LS,0.0,0.0,400.0,07-62-10
92,8,1213-002,5,H. B. Roofing Company Ltd.,S&I downpipe ,LS,0.0,0.0,285.0,07-71-23
93,8,1213-002,6,H. B. Roofing Company Ltd.,Torch on Repair - 2 locations,LS,0.0,0.0,445.27,7/14/2013
99,8,1213-006,2,Ange's Plumbing Ltd.,Pump out oil interceptor; clean out catch basin,LS,0.0,0.0,1480.0,02-41-13
100,8,1213-006,3,Ange's Plumbing Ltd.,Flush line to interceptor,LS,0.0,0.0,340.0,02-41-13
101,8,1213-006,4,Ange's Plumbing Ltd.,Repair water pipe line,LS,0.0,0.0,112.69,22-10-20
102,8,1213-006,5,Ange's Plumbing Ltd.,Demo of washroom,LS,0.0,0.0,315.0,02-41-13
103,8,1213-006,6,Ange's Plumbing Ltd.,Remove gas lines back to meter; terminate,LS,0.0,0.0,1452.0,02-41-13
104,8,1213-006,7,Ange's Plumbing Ltd.,Additional demolition at washroom,LS,0.0,0.0,353.74,02-41-13
105,8,1213-007,1,United Rentals,Rental of Two Scissorlifts ,LS,0.0,0.0,1195.34,01-54-16
106,8,1213-007,2,United Rentals,Continued rental,LS,0.0,0.0,225.2,01-54-16
108,8,1213-008,2,Havona Contracting Ltd,Misc. repairs walls/roof/stairs south building,LS,0.0,0.0,1200.0,6/10/1950
113,8,1213-010,2,Safe-Guard Fence Ltd.,Repair vandalized fence,LS,0.0,0.0,300.0,32-31-13
117,8,1213-013,2,Mini-Load Disposal Ltd.,Dump & return Mar. 16,LS,0.0,0.0,347.38,01-74-13
118,8,1213-013,3,Mini-Load Disposal Ltd.,Dump & return Mar. 21,LS,0.0,0.0,375.76,01-74-13
119,8,1213-013,4,Mini-Load Disposal Ltd.,Dump & return Mar. 25,LS,0.0,0.0,518.52,01-74-13
120,8,1213-013,5,Mini-Load Disposal Ltd.,Dump & return Mar. 27,LS,0.0,0.0,564.1,01-74-13
121,8,1213-013,6,Mini-Load Disposal Ltd.,2-Apr,LS,0.0,0.0,1106.76,01-74-13
122,8,1213-013,7,Mini-Load Disposal Ltd.,10-Apr,LS,0.0,0.0,389.52,01-74-13
123,8,1213-013,8,Mini-Load Disposal Ltd.,15-Apr,LS,0.0,0.0,411.88,01-74-13
124,8,1213-013,9,Mini-Load Disposal Ltd.,Dump & return,LS,0.0,0.0,423.06,01-74-13
125,8,1213-013,10,Mini-Load Disposal Ltd.,Dump & return,LS,0.0,0.0,375.76,01-74-13
126,8,1213-013,11,Mini-Load Disposal Ltd.,Invoice 105368,LS,0.0,0.0,397.54,01-74-13
127,8,1213-013,12,Mini-Load Disposal Ltd.,Invoice 104674,LS,0.0,0.0,383.78,01-74-13
128,8,1213-014,1,United Rentals,"Rental of two 48"" fans",LS,0.0,0.0,747.8,01-52-25
129,8,1213-015,1,Metro Printers,Safety Decals 1-100 Site Orientation BMW,LS,0.0,0.0,192.5,01-52-17
130,8,1213-016,1,T.R. Trades Reproduction Ltd.,Print drawings,LS,0.0,0.0,16.5,01-33-23
132,8,1213-018,1,United Rentals,"Rental Hammer Drill; 2"" & 4"" blade",LS,0.0,0.0,235.56,01-52-25
133,8,1213-018,2,United Rentals,Moil Point,LS,0.0,0.0,44.34,01-52-25
135,8,1213-019,2,Alba Painting Ltd.,900 sqft of ceiling painter white ,LS,0.0,0.0,450.0,09-91-40
136,8,1213-019,3,Alba Painting Ltd.,paint metal column guards yellow ,LS,0.0,0.0,150.0,09-91-40
137,8,1213-020,1,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 28,LS,0.0,0.0,145.18,01-52-17
138,8,1213-020,2,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 18,LS,0.0,0.0,227.1,01-52-17
139,8,1213-020,3,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 12,LS,0.0,0.0,2057.48,01-52-17
140,8,1213-020,4,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 28,LS,0.0,0.0,217.31,01-52-17
141,8,1213-021,1,Kings Time Industries (Asia Pacific) Ltd.,Supply site signage & grommets,LS,0.0,0.0,760.0,01-58-13
142,8,1213-022,1,T.R. Trades Reproduction Ltd.,Print Electrical Drawings,LS,0.0,0.0,20.48,01-33-23
143,8,1213-025,1,Kings Time Industries (Asia Pacific) Ltd.,Signage - safety,LS,0.0,0.0,760.0,01-58-13
144,8,1213-026,1,Dick's Lumber,Lumber & materials as per quote 858708-00,LS,0.0,0.0,1568.69,6/10/1951
145,8,1213-026,2,Dick's Lumber,Materials,LS,0.0,0.0,61.38,6/10/1951
146,8,1213-026,3,Dick's Lumber,Materials,LS,0.0,0.0,305.98,6/10/1951
147,8,1213-026,4,Dick's Lumber,Materials,LS,0.0,0.0,178.2,6/10/1951
149,8,1213-027,1,McGregor & Thompson,kickplates 10 x 34,EA,2.0,19.0,38.0,08-71-11
150,8,1213-027,2,McGregor & Thompson,kickplates 10 x 30,EA,2.0,16.75,33.5,08-71-11
151,8,1213-028,1,Windsor Plywood,Lumber,LS,0.0,0.0,158.97,6/10/1980
152,8,1213-029,1,Windsor Plywood,April 1 materials,LS,0.0,0.0,126.82,01-52-23
153,8,1213-029,2,Windsor Plywood,April 2 materials,LS,0.0,0.0,13.14,01-52-23
154,8,1213-029,3,Windsor Plywood,April 2 materials,LS,0.0,0.0,31.56,01-52-23
155,8,1213-029,4,Windsor Plywood,April 3 materials,LS,0.0,0.0,37.11,01-52-23
156,8,1213-029,5,Windsor Plywood,April 9 materials,LS,0.0,0.0,20.27,01-52-23
157,8,1213-029,6,Windsor Plywood,April 10 materials,LS,0.0,0.0,62.96,01-52-23
158,8,1213-029,7,Windsor Plywood,April 11 materials,LS,0.0,0.0,35.89,01-52-23
159,8,1213-029,8,Windsor Plywood,April 14 materials,LS,0.0,0.0,46.32,01-52-23
160,8,1213-029,9,Windsor Plywood,March 27 materials,LS,0.0,0.0,60.1,01-52-23
161,8,1213-029,10,Windsor Plywood,April 22 supplies,LS,0.0,0.0,22.91,6/10/1951
162,8,1213-029,11,Windsor Plywood,April 29 Supplies,LS,0.0,0.0,30.37,6/10/1951
163,8,1213-029,12,Windsor Plywood,April 30 Supplies,LS,0.0,0.0,110.36,6/10/1951
165,8,1213-031,2,ROCKY MOUNTAIN SPRINKLERS LTD.,S&I 3 sidewalls  for isolated sprinkler piping in cold zone,LS,0.0,0.0,950.0,21-10-14
166,8,1213-031,3,ROCKY MOUNTAIN SPRINKLERS LTD.,S&I 6 heads under racking system ,LS,0.0,0.0,1850.0,21-10-14
167,8,1213-032,1,Westcoast Cutting & Coring Ltd.,Cut concrete on site as directed,LS,0.0,0.0,2200.0,03-80-10
168,8,1213-033,1,DoorCare,Re & re rolling door as per May 5  2014 quote,LS,0.0,0.0,750.0,08-33-23
169,8,1213-033,2,DoorCare,RE & Re Rytec High Speed Door,LS,0.0,0.0,2250.0,08-33-23
171,8,1213-036,1,McGregor & Thompson,Supply 1 pr metal doors & frame c/w hardware,LS,0.0,0.0,620.7,8/11/2013
172,8,1213-036,2,McGregor & Thompson,hinge,LS,0.0,0.0,18.6,08-71-11
176,8,1213-040,2,Safeguard Contracting Ltd.,Welders ,LS,0.0,0.0,200.0,05-50-10
177,8,1213-041,1,Advanced Mobile First Aid & Safety Inc.,Swivel chair for first aid,LS,0.0,0.0,268.2,01-52-17
178,8,1213-041,2,Advanced Mobile First Aid & Safety Inc.,Fire Extinguishers,EA,4.0,78.0,312.0,01-52-17
180,8,1213-043,1,Stevens J. Concrete Ltd.,Concrete finishing,LS,0.0,0.0,140.0,03-35-10
181,8,1213-045,1,A&B Tool Rentals Ltd,Vacuum Rental,LS,0.0,0.0,26.47,01-52-25
182,8,1213-045,2,A&B Tool Rentals Ltd,Surface Cleanter,LS,0.0,0.0,24.0,01-52-25
183,8,1213-045,3,A&B Tool Rentals Ltd,Scarifier,LS,0.0,0.0,252.45,01-52-25
184,8,1213-045,4,A&B Tool Rentals Ltd,Floor Grinder,LS,0.0,0.0,116.0,01-52-25
185,8,1213-046,1,Beatty Floors,Repair Vinyl and install base,LS,0.0,0.0,485.0,09-65-16
186,8,1213-046,2,Beatty Floors,2 Transition ramps for night drop off area ,LS,0.0,0.0,295.0,09-97-10
187,8,1213-047,1,Windsor Plywood,6-May,LS,0.0,0.0,116.97,6/10/1951
188,8,1213-047,2,Windsor Plywood,9-May,LS,0.0,0.0,298.38,6/10/1951
189,8,1213-047,3,Windsor Plywood,9-May,LS,0.0,0.0,59.37,6/10/1951
190,8,1213-047,4,Windsor Plywood,12-May,LS,0.0,0.0,27.66,6/10/1951
191,8,1213-047,5,Windsor Plywood,9-May,LS,0.0,0.0,9.45,6/10/1951
192,8,1213-047,6,Windsor Plywood,20-May,LS,0.0,0.0,37.3,6/10/1951
193,8,1213-047,7,Windsor Plywood,20-May,LS,0.0,0.0,283.2,6/10/1951
194,8,1213-047,8,Windsor Plywood,20-May,LS,0.0,0.0,37.7,6/10/1951
195,8,1213-047,9,Windsor Plywood,27-May,LS,0.0,0.0,109.6,6/10/1951
196,8,1213-047,10,Windsor Plywood,27-May,LS,0.0,0.0,30.18,6/10/1951
197,8,1213-047,11,Windsor Plywood,29-May,LS,0.0,0.0,7.0,6/10/1951
198,8,1213-047,12,Windsor Plywood,29-May,LS,0.0,0.0,34.78,6/10/1951
199,8,1213-047,13,Windsor Plywood,26-Jun,LS,0.0,0.0,137.89,6/10/1951
200,8,1213-047,14,Windsor Plywood,June 26 - 299625,LS,0.0,0.0,899.0,6/10/1951
201,8,1213-047,15,Windsor Plywood,June 27 - 299760,LS,0.0,0.0,13.02,6/10/1951
202,8,1213-047,16,Windsor Plywood,June 27 - 299761,LS,0.0,0.0,5.22,6/10/1951
205,8,1213-049,1,Windsor Plywood,June 4 - 297-352,LS,0.0,0.0,4.8,6/10/1951
206,8,1213-049,2,Windsor Plywood,June 4 - 297-370,LS,0.0,0.0,32.96,6/10/1951
207,8,1213-049,3,Windsor Plywood,June 4 - 297-394,LS,0.0,0.0,49.69,6/10/1951
209,8,1213-049,5,Windsor Plywood,June 17 - 298-661,LS,0.0,0.0,484.0,6/10/1951
210,8,1213-049,6,Windsor Plywood,June 17 - 298-651,LS,0.0,0.0,86.26,6/10/1951
211,8,1213-050,1,A&B Tool Rentals Ltd,Floor machine,LS,0.0,0.0,275.6,01-52-25
212,8,1213-050,2,A&B Tool Rentals Ltd,"15/16"" Concrete Drill",LS,0.0,0.0,81.0,01-52-25
213,8,1213-051,1,Home Depot,2 ceiling fixtures ,LS,0.0,0.0,50.0,26-80-10
214,8,1213-051,2,Home Depot,Vacuum & Garbage can,LS,0.0,0.0,151.47,01-52-25
215,8,1213-052,1,Heritage Office Furnishings Ltd.,2 tables and a chair for site office ,LS,0.0,0.0,150.0,01-52-22
216,8,1213-053,1,Windsor Plywood,Plated Screws,LS,0.0,0.0,4.42,6/10/1980
217,8,1213-053,2,Windsor Plywood,Nuts  washers  bolts,LS,0.0,0.0,9.43,6/10/1980
218,8,1213-053,3,Windsor Plywood,Zinc chain/padlock,LS,0.0,0.0,16.53,6/10/1980
219,8,1213-053,4,Windsor Plywood,Wire & plugs,LS,0.0,0.0,13.23,6/10/1980
220,8,1213-053,5,Windsor Plywood,door knobs,LS,0.0,0.0,11.52,01-52-22
221,8,1213-053,6,Windsor Plywood,drill set  wedge anchors  flat washers,LS,0.0,0.0,45.83,01-52-22
222,8,1213-053,7,Windsor Plywood,redi-filler (drywall mud),LS,0.0,0.0,8.99,01-52-22
223,8,1213-053,8,Windsor Plywood,Pan head anchors  toggle anchors  1x3x8 MDF  delivery,LS,0.0,0.0,137.0,01-52-22
224,8,1213-053,9,Windsor Plywood,1x2 MDF return and 1x3 MDF purchased,LS,0.0,0.0,5.22,01-52-22
225,8,1213-053,10,Windsor Plywood,Invoice 303386 August 2014,LS,0.0,0.0,45.83,01-52-22
226,8,1213-054,1,McGregor & Thompson,Washroom Accessories,LS,0.0,0.0,560.0,10/28/2015
227,8,1213-054,2,McGregor & Thompson,Female Symbol/Male Symbol,EA,4.0,14.85,59.4,10/14/1970
228,8,1213-054,3,McGregor & Thompson,Handicap Symbol,EA,2.0,23.35,46.7,10/14/1970
229,8,1213-054,4,McGregor & Thompson,"Room Description Signs 2"" x 8"" black/white",EA,0.0,12.25,0.0,10/14/1970
231,8,1213-056,2,McRae's Environmental Services Ltd.,6hrs at $195/hr vac truck serve,LS,0.0,0.0,1170.0,02-41-13
232,8,1213-059,1,Windsor Plywood,nuts and bolts for MUA's -  Inv#300767,LS,0.0,0.0,9.43,01-52-23
233,8,1213-059,2,Windsor Plywood,chain and lock for side gate - Inv#301330,LS,0.0,0.0,16.53,01-52-23
234,8,1213-059,3,Windsor Plywood,extension cord ends - Inv#301413,LS,0.0,0.0,13.23,01-52-23
235,8,1213-059,4,Windsor Plywood,Brushed Nickel Knob,LS,0.0,0.0,11.52,01-52-23
236,8,1213-060,1,United Rentals,Skyjack,LS,0.0,0.0,266.0,01-54-16
237,8,1213-060,2,United Rentals,Delivery,LS,0.0,0.0,100.0,01-54-16
238,8,1213-060,3,United Rentals,Pick up,LS,0.0,0.0,100.0,01-54-16
239,8,1213-062,1,A&B Tool Rentals Ltd,"1/2"" Mag Drill ",LS,0.0,0.0,170.8,01-52-25
240,8,1213-062,2,A&B Tool Rentals Ltd,Blades,EA,3.0,98.0,294.0,01-52-25
241,8,1213-063,1,Airstream Heating and Air Conditioning Inc.,S&I balance dampers,LS,0.0,0.0,775.0,23-60-11
242,8,1213-064,1,Kipps Rubbish Removal,rubbish removal from the end of the project ,LS,0.0,0.0,249.2,01-74-13
244,8,1213-1-002,1,Sandbox Sign Group Inc.,S&I graphic for glazgin,LS,0.0,0.0,1465.41,05-52-24
245,8,1213-1-003,1,Bomex Tile Inc.,repair tiles as requested,LS,0.0,0.0,500.0,9/30/1960
246,8,1213-1-005,1,Alba Painting Ltd.,Wall repairs & painting as quote AP-075-2014,LS,0.0,0.0,1000.0,09-91-40
249,8,1216-002,2,AC Paving Co. Ltd.,Extra concrete for carwash pads,LS,0.0,0.0,1107.72,3/31/1946
250,8,1216-003,1,Dura Productions,Relocate stair to new location as per quote 10005,LS,0.0,0.0,680.0,05-50-10
251,8,1216-003,2,Dura Productions,S&I misc. steel items as per quote Sept 11 - new parts area,LS,0.0,0.0,1065.0,05-50-10
252,8,1216-004,2,Shanahan's,Supply two 3'x8' metal doors (from ILAC),LS,0.0,0.0,400.0,8/11/2013
254,8,1216-007,1,Ange's Plumbing Ltd.,Locate underground piping - Labour & materials,LS,0.0,0.0,1664.63,22-10-20
255,8,1216-008,1,A&B Tool Rentals Ltd,Fork lift - relocate stairs in parts area with Dura producti,LS,0.0,0.0,370.17,01-52-25
256,8,1216-008,3,A&B Tool Rentals Ltd,"14"" quick cut and jack hammer - scope above",LS,0.0,0.0,141.83,01-52-25
258,8,1216-008,5,A&B Tool Rentals Ltd,Mixer with paddle,LS,0.0,0.0,30.83,01-52-25
259,8,1216-008,6,A&B Tool Rentals Ltd,Saw - cut off gas,LS,0.0,0.0,169.6,01-52-25
260,8,1216-009,1,Windsor Plywood,"INV#305763 - masonry bit 13""",LS,0.0,0.0,10.49,01-52-25
261,8,1216-009,2,Windsor Plywood,INV#305760 - measuring tape  chalk line  assorted drill bits,LS,0.0,0.0,63.85,01-52-25
262,8,1216-009,3,Windsor Plywood,INV#305876 - flashlight  demo bars and 4lbs sledge,LS,0.0,0.0,106.48,01-52-25
263,8,1216-009,4,Windsor Plywood,INV#306303 - 2x8  2x6  nails  delivery,LS,0.0,0.0,112.63,01-52-25
264,8,1216-009,5,Windsor Plywood,305915,LS,0.0,0.0,6.78,01-52-23
265,8,1216-009,6,Windsor Plywood,306515,LS,0.0,0.0,90.15,01-52-23
266,8,1216-009,7,Windsor Plywood,306746,LS,0.0,0.0,98.41,01-52-23
267,8,1216-009,8,Windsor Plywood,306705,LS,0.0,0.0,270.51,01-52-23
268,8,1216-009,9,Windsor Plywood,306860,LS,0.0,0.0,13.49,01-52-23
269,8,1216-009,10,Windsor Plywood,307620,LS,0.0,0.0,305.4,01-52-23
270,8,1216-009,11,Windsor Plywood,307794,LS,0.0,0.0,168.28,01-52-23
271,8,1216-009,12,Windsor Plywood,307742,LS,0.0,0.0,49.32,01-52-23
272,8,1216-009,13,Windsor Plywood,307741,LS,0.0,0.0,221.72,01-52-23
273,8,1216-009,14,Windsor Plywood,306705,LS,0.0,0.0,270.51,01-52-23
275,8,1216-010,2,PK Metal Works,Additional S&I struct steel to opening in lue of grout ,LS,0.0,0.0,1289.09,5/10/2010
276,8,1216-011,1,Home Depot,7013636,LS,0.0,0.0,452.75,01-52-23
277,8,1216-011,2,Home Depot,,LS,0.0,0.0,379.0,01-52-23
278,8,1216-011,3,Home Depot,General Conditions,LS,0.0,0.0,11.91,01-52-23
279,8,1216-013,1,T.R. Trades Reproduction Ltd.,Full set for Sam,LS,0.0,0.0,44.85,01-33-23
280,8,1216-013,2,T.R. Trades Reproduction Ltd.,Hard copy and CD copy BP set - Sept 16,LS,0.0,0.0,0.0,01-33-23
281,8,1216-013,3,T.R. Trades Reproduction Ltd.,BP Set for site - partial,LS,0.0,0.0,112.05,01-33-23
282,8,1216-013,4,T.R. Trades Reproduction Ltd.,BP set for site - partial,LS,0.0,0.0,78.76,01-33-23
283,8,1216-013,5,T.R. Trades Reproduction Ltd.,Arch. Millwork,LS,0.0,0.0,24.79,01-33-23
284,8,1216-013,6,T.R. Trades Reproduction Ltd.,Full set for office,LS,0.0,0.0,98.55,01-33-23
285,8,1216-014,1,Mini-Load Disposal Ltd.,30 yrd Bin,LS,0.0,0.0,310.0,01-74-13
286,8,1216-014,2,Mini-Load Disposal Ltd.,6yrd bin - call only - cancelled,LS,0.0,0.0,75.0,01-74-13
287,8,1216-014,3,Mini-Load Disposal Ltd.,6 yd dump and out Sept. 24,LS,0.0,0.0,436.24,01-74-13
288,8,1216-015,2,DoorCare,Proximity sensor ,LS,0.0,0.0,965.0,08-33-23
289,8,1216-016,1,Trades Labour Corporation,1 man ,LS,0.0,0.0,299.25,6/10/1980
290,8,1216-016,2,Trades Labour Corporation,Labour,LS,0.0,0.0,379.05,6/10/1980
291,8,1216-016,3,Trades Labour Corporation,Labour - Sept 17 & 18 - Hyon SIk Cho - 18 hours,GSF,0.0,0.0,0.0,6/10/1980
292,8,1216-016,4,Trades Labour Corporation,Carpenter - Sept 23 - Glen Humchitt - 8.5hrs,GSF,0.0,0.0,0.0,6/10/1980
293,8,1216-016,5,Trades Labour Corporation,Labour -Sept 23 - Kirk Townsend - 8.5hrs,GSF,0.0,0.0,0.0,6/10/1980
294,8,1216-016,6,Trades Labour Corporation,Carpenter - Sept 24  / 25 / 29 - Glen - 27hrs total,GSF,0.0,0.0,0.0,6/10/1980
298,8,1216-017,4,CP Distributors,Toilet Partitions,LS,0.0,0.0,1471.0,10/21/2013
300,8,1216-017,6,CP Distributors,IFC - Metal doors and frames,LS,0.0,0.0,1121.0,8/11/2013
301,8,1216-017,7,CP Distributors,IFC - Wood Doors Addition,LS,0.0,0.0,1491.0,8/14/1943
302,8,1216-017,8,CP Distributors,IFC - Finish Hardware addition,LS,0.0,0.0,0.0,08-71-11
303,8,1216-017,9,CP Distributors,IFC - Mag Locks  DPS prep  Grille Cut outs,LS,0.0,0.0,0.0,08-71-11
304,8,1216-017,10,CP Distributors,ACO #005 - Door Hardware & Mag Locks,LS,0.0,0.0,0.0,08-71-11
305,8,1216-017,11,CP Distributors,INV#501593 - additional locks for fire separation corridor,LS,0.0,0.0,650.0,08-71-11
308,8,1216-020,1,Windsor Plywood,"Invoice#309504 - lag bolts 4"" & washers",LS,0.0,0.0,4.94,01-52-23
309,8,1216-020,2,Windsor Plywood,Invoice#309473 -drill bits & knife,LS,0.0,0.0,52.59,01-52-23
310,8,1216-020,3,Windsor Plywood,Invoice#310049 - aluminum for parts counter & cutting wheel ,LS,0.0,0.0,77.43,01-52-23
311,8,1216-020,4,Windsor Plywood,INV#310458 - post for parts counter shutters,LS,0.0,0.0,39.16,01-52-23
312,8,1216-020,5,Windsor Plywood,INV#310720 - tape & angled aluminum corners @ parts shutter,LS,0.0,0.0,96.36,01-52-23
313,8,1216-020,6,Windsor Plywood,309252 Lumber & materials,LS,0.0,0.0,937.27,01-52-23
314,8,1216-020,7,Windsor Plywood,309251 metal angle; bolts,LS,0.0,0.0,62.73,01-52-23
315,8,1216-020,8,Windsor Plywood,310624 bits,LS,0.0,0.0,50.13,01-52-23
316,8,1216-020,9,Windsor Plywood,Inv. 313256 ,LS,0.0,0.0,97.75,01-52-23
317,8,1216-020,10,Windsor Plywood,Inv. 313157,LS,0.0,0.0,434.22,01-52-23
