Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Cost Code
8,1213-002,1,H. B. Roofing Company Ltd.,Pitched Roof ,LS,0,0,32300,07-32-10
8,1213-002,2,H. B. Roofing Company Ltd.,Flashing for 8 skylights,EA,8,50,400,07-62-10
8,1213-002,4,H. B. Roofing Company Ltd.,Skylight Install,LS,0,0,400,07-62-10
8,1213-002,5,H. B. Roofing Company Ltd.,S&I downpipe ,LS,0,0,285,07-71-23
8,1213-002,6,H. B. Roofing Company Ltd.,Torch on Repair - 2 locations,LS,0,0,445.27,07-14-13
8,1213-002,7,H. B. Roofing Company Ltd.,Wrap mechanical units with board and flashing,LS,0,0,2810.76,07-32-10
8,1213-003,1,Dick's Lumber,Supply 8 of 70.5 x 114.5 Bubble  Skylites ,EA,8,1207,9656,08-63-10
8,1213-004,1,Vision West Products Ltd.,S&I single glazed storefront,LS,0,0,7575,08-41-13
8,1213-005,1,Lakeview Power Systems Inc.,Electrical Demolition,LS,0,0,5200,02-41-13
8,1213-006,1,Ange's Plumbing Ltd.,Remove water supply lines  fixtures  air lines  gas lines,LS,0,0,4200,02-41-13
8,1213-006,2,Ange's Plumbing Ltd.,Pump out oil interceptor; clean out catch basin,LS,0,0,1480,02-41-13
8,1213-006,3,Ange's Plumbing Ltd.,Flush line to interceptor,LS,0,0,340,02-41-13
8,1213-006,4,Ange's Plumbing Ltd.,Repair water pipe line,LS,0,0,112.69,22-10-20
8,1213-006,5,Ange's Plumbing Ltd.,Demo of washroom,LS,0,0,315,02-41-13
8,1213-006,6,Ange's Plumbing Ltd.,Remove gas lines back to meter; terminate,LS,0,0,1452,02-41-13
8,1213-006,7,Ange's Plumbing Ltd.,Additional demolition at washroom,LS,0,0,353.74,02-41-13
8,1213-007,1,United Rentals,Rental of Two Scissorlifts ,LS,0,0,1195.34,01-54-16
8,1213-007,2,United Rentals,Continued rental,LS,0,0,225.2,01-54-16
8,1213-008,1,Havona Contracting Ltd,Remove roofing material  cut & frame for skylites,LS,0,0,10000,06-10-63
8,1213-008,2,Havona Contracting Ltd,Misc. repairs walls/roof/stairs south building,LS,0,0,1200,06-10-50
8,1213-008,3,Havona Contracting Ltd,Miscellaneous framing & carpentry,LS,0,0,2880,06-10-51
8,1213-009,1,ALS Masonry Inc.,S&I ULC rated 2 hour block wall,LS,0,0,27200,04-22-10
8,1213-009,2,ALS Masonry Inc.,Block in additional overhead door opening,LS,0,0,6800,04-22-10
8,1213-010,1,Safe-Guard Fence Ltd.,S&I Chain Link Fence & gate as per quote,LS,0,0,4125,32-31-13
8,1213-010,2,Safe-Guard Fence Ltd.,Repair vandalized fence,LS,0,0,300,32-31-13
8,1213-011,1,Anytime Demolition Ltd.,Selective Demolition as per quote,LS,0,0,8200,02-41-13
8,1213-011,2,Anytime Demolition Ltd.,Additional demolition drywall & concrete wall demo,LS,0,0,2500,02-41-13
8,1213-012,1,ROCKY MOUNTAIN SPRINKLERS LTD.,Selective Sprinkler Demolition (Maximum $3000),LS,0,0,3000,02-41-13
8,1213-013,2,Mini-Load Disposal Ltd.,Dump & return Mar. 16,LS,0,0,347.38,01-74-13
8,1213-013,3,Mini-Load Disposal Ltd.,Dump & return Mar. 21,LS,0,0,375.76,01-74-13
8,1213-013,4,Mini-Load Disposal Ltd.,Dump & return Mar. 25,LS,0,0,518.52,01-74-13
8,1213-013,5,Mini-Load Disposal Ltd.,Dump & return Mar. 27,LS,0,0,564.1,01-74-13
8,1213-013,6,Mini-Load Disposal Ltd.,April 2,LS,0,0,1106.76,01-74-13
8,1213-013,7,Mini-Load Disposal Ltd.,April 10,LS,0,0,389.52,01-74-13
8,1213-013,8,Mini-Load Disposal Ltd.,April 15,LS,0,0,411.88,01-74-13
8,1213-013,9,Mini-Load Disposal Ltd.,Dump & return,LS,0,0,423.06,01-74-13
8,1213-013,10,Mini-Load Disposal Ltd.,Dump & return,LS,0,0,375.76,01-74-13
8,1213-013,11,Mini-Load Disposal Ltd.,Invoice 105368,LS,0,0,397.54,01-74-13
8,1213-013,12,Mini-Load Disposal Ltd.,Invoice 104674,LS,0,0,383.78,01-74-13
8,1213-014,1,United Rentals,"Rental of two 48"" fans",LS,0,0,747.8,01-52-25
8,1213-015,1,Metro Printers,Safety Decals 1-100 Site Orientation BMW,LS,0,0,192.5,01-52-17
8,1213-016,1,T.R. Trades Reproduction Ltd.,Print drawings,LS,0,0,16.5,01-33-23
8,1213-017,1,Trades Labour Corporation,2 labourers 18 - 21 March/scissor lift/fall protection ,LS,0,0,4227.42,01-74-13
8,1213-018,1,United Rentals,"Rental Hammer Drill; 2"" & 4"" blade",LS,0,0,235.56,01-52-25
8,1213-018,2,United Rentals,Moil Point,LS,0,0,44.34,01-52-25
8,1213-019,1,Alba Painting Ltd.,Painting as per Quote AP-046-2014,LS,0,0,14500,09-91-40
8,1213-019,2,Alba Painting Ltd.,900 sqft of ceiling painter white ,LS,0,0,450,09-91-40
8,1213-019,3,Alba Painting Ltd.,paint metal column guards yellow ,LS,0,0,150,09-91-40
8,1213-020,1,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 28,LS,0,0,145.18,01-52-17
8,1213-020,2,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 18,LS,0,0,227.1,01-52-17
8,1213-020,3,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 12,LS,0,0,2057.48,01-52-17
8,1213-020,4,Advanced Mobile First Aid & Safety Inc.,First Aid Supplies Mar. 28,LS,0,0,217.31,01-52-17
8,1213-021,1,Kings Time Industries (Asia Pacific) Ltd.,Supply site signage & grommets,LS,0,0,760,01-58-13
8,1213-022,1,T.R. Trades Reproduction Ltd.,Print Electrical Drawings,LS,0,0,20.48,01-33-23
8,1213-025,1,Kings Time Industries (Asia Pacific) Ltd.,Signage - safety,LS,0,0,760,01-58-13
8,1213-026,1,Dick's Lumber,Lumber & materials as per quote 858708-00,LS,0,0,1568.69,06-10-51
8,1213-026,2,Dick's Lumber,Materials,LS,0,0,61.38,06-10-51
8,1213-026,3,Dick's Lumber,Materials,LS,0,0,305.98,06-10-51
8,1213-026,4,Dick's Lumber,Materials,LS,0,0,178.2,06-10-51
8,1213-026,5,Dick's Lumber,Materials credit,LS,0,0,-172.8,06-10-51
8,1213-027,1,McGregor & Thompson,kickplates 10 x 34,EA,2,19,38,08-71-11
8,1213-027,2,McGregor & Thompson,kickplates 10 x 30,EA,2,16.75,33.5,08-71-11
8,1213-028,1,Windsor Plywood,Lumber,LS,0,0,158.97,06-10-80
8,1213-029,1,Windsor Plywood,April 1 materials,LS,0,0,126.82,01-52-23
8,1213-029,2,Windsor Plywood,April 2 materials,LS,0,0,13.14,01-52-23
8,1213-029,3,Windsor Plywood,April 2 materials,LS,0,0,31.56,01-52-23
8,1213-029,4,Windsor Plywood,April 3 materials,LS,0,0,37.11,01-52-23
8,1213-029,5,Windsor Plywood,April 9 materials,LS,0,0,20.27,01-52-23
8,1213-029,6,Windsor Plywood,April 10 materials,LS,0,0,62.96,01-52-23
8,1213-029,7,Windsor Plywood,April 11 materials,LS,0,0,35.89,01-52-23
8,1213-029,8,Windsor Plywood,April 14 materials,LS,0,0,46.32,01-52-23
8,1213-029,9,Windsor Plywood,March 27 materials,LS,0,0,60.1,01-52-23
8,1213-029,10,Windsor Plywood,April 22 supplies,LS,0,0,22.91,06-10-51
8,1213-029,11,Windsor Plywood,April 29 Supplies,LS,0,0,30.37,06-10-51
8,1213-029,12,Windsor Plywood,April 30 Supplies,LS,0,0,110.36,06-10-51
8,1213-031,1,ROCKY MOUNTAIN SPRINKLERS LTD.,S&I sprinkler system; permit included,LS,0,0,8490,21-10-14
8,1213-031,2,ROCKY MOUNTAIN SPRINKLERS LTD.,S&I 3 sidewalls  for isolated sprinkler piping in cold zone,LS,0,0,950,21-10-14
8,1213-031,3,ROCKY MOUNTAIN SPRINKLERS LTD.,S&I 6 heads under racking system ,LS,0,0,1850,21-10-14
8,1213-032,1,Westcoast Cutting & Coring Ltd.,Cut concrete on site as directed,LS,0,0,2200,03-80-10
8,1213-033,1,DoorCare,Re & re rolling door as per May 5  2014 quote,LS,0,0,750,08-33-23
8,1213-033,2,DoorCare,RE & Re Rytec High Speed Door,LS,0,0,2250,08-33-23
8,1213-034,1,Vision West Products Ltd.,S&I aluminum store front as per quote CN14019,LS,0,0,4660,08-41-13
8,1213-036,1,McGregor & Thompson,Supply 1 pr metal doors & frame c/w hardware,LS,0,0,620.7,08-11-13
8,1213-036,2,McGregor & Thompson,hinge,LS,0,0,18.6,08-71-11
8,1213-037,1,Robertson Walls & Ceilings,Drywall  insulation  taping - washroom ,LS,0,0,5612,09-21-17
8,1213-038,1,Greer Spray Foam Ltd.,S&I 2hr spray fireproofing ,LS,0,0,6138,07-81-10
8,1213-040,1,Safeguard Contracting Ltd.,S&I miscellanes metals - ramps/corner guards/mech. bracing,LS,0,0,15604,05-50-10
8,1213-040,2,Safeguard Contracting Ltd.,Welders ,LS,0,0,200,05-50-10
8,1213-041,1,Advanced Mobile First Aid & Safety Inc.,Swivel chair for first aid,LS,0,0,268.2,01-52-17
8,1213-041,2,Advanced Mobile First Aid & Safety Inc.,Fire Extinguishers,EA,4,78,312,01-52-17
8,1213-042,1,Omni Coating Ltd.,S&I Epoxy flooring - parts room & washroom,LS,0,0,3000,09-97-10
8,1213-043,1,Stevens J. Concrete Ltd.,Concrete finishing,LS,0,0,140,03-35-10
8,1213-045,1,A&B Tool Rentals Ltd,Vacuum Rental,LS,0,0,26.47,01-52-25
8,1213-045,2,A&B Tool Rentals Ltd,Surface Cleanter,LS,0,0,24,01-52-25
8,1213-045,3,A&B Tool Rentals Ltd,Scarifier,LS,0,0,252.45,01-52-25
8,1213-045,4,A&B Tool Rentals Ltd,Floor Grinder,LS,0,0,116,01-52-25
8,1213-046,1,Beatty Floors,Repair Vinyl and install base,LS,0,0,485,09-65-16
8,1213-046,2,Beatty Floors,2 Transition ramps for night drop off area ,LS,0,0,295,09-97-10
8,1213-047,1,Windsor Plywood,MAY 6,LS,0,0,116.97,06-10-51
8,1213-047,2,Windsor Plywood,May 9,LS,0,0,298.38,06-10-51
8,1213-047,3,Windsor Plywood,May 9,LS,0,0,59.37,06-10-51
8,1213-047,4,Windsor Plywood,May 12,LS,0,0,27.66,06-10-51
8,1213-047,5,Windsor Plywood,May 9,LS,0,0,9.45,06-10-51
8,1213-047,6,Windsor Plywood,May 20,LS,0,0,37.3,06-10-51
8,1213-047,7,Windsor Plywood,May 20,LS,0,0,283.2,06-10-51
8,1213-047,8,Windsor Plywood,May 20,LS,0,0,37.7,06-10-51
8,1213-047,9,Windsor Plywood,May 27,LS,0,0,109.6,06-10-51
8,1213-047,10,Windsor Plywood,May 27,LS,0,0,30.18,06-10-51
8,1213-047,11,Windsor Plywood,May 29,LS,0,0,7,06-10-51
8,1213-047,12,Windsor Plywood,May 29,LS,0,0,34.78,06-10-51
8,1213-047,13,Windsor Plywood,June 26,LS,0,0,137.89,06-10-51
8,1213-047,14,Windsor Plywood,June 26 - 299625,LS,0,0,899,06-10-51
8,1213-047,15,Windsor Plywood,June 27 - 299760,LS,0,0,13.02,06-10-51
8,1213-047,16,Windsor Plywood,June 27 - 299761,LS,0,0,5.22,06-10-51
8,1213-048,1,Ange's Plumbing Ltd.,Plumbing work for Service Department - south,LS,0,0,29307.14,22-10-20
8,1213-048,2,Ange's Plumbing Ltd.,Heating lines - 200' + 200''; gas line; meter,LS,0,0,7388.14,22-10-20
8,1213-049,1,Windsor Plywood,June 4 - 297-352,LS,0,0,4.8,06-10-51
8,1213-049,2,Windsor Plywood,June 4 - 297-370,LS,0,0,32.96,06-10-51
8,1213-049,3,Windsor Plywood,June 4 - 297-394,LS,0,0,49.69,06-10-51
8,1213-049,4,Windsor Plywood,June 17 - 25080,LS,0,0,-89.84,06-10-51
8,1213-049,5,Windsor Plywood,June 17 - 298-661,LS,0,0,484,06-10-51
8,1213-049,6,Windsor Plywood,June 17 - 298-651,LS,0,0,86.26,06-10-51
8,1213-050,1,A&B Tool Rentals Ltd,Floor machine,LS,0,0,275.6,01-52-25
8,1213-050,2,A&B Tool Rentals Ltd,"15/16"" Concrete Drill",LS,0,0,81,01-52-25
8,1213-051,1,Home Depot,2 ceiling fixtures ,LS,0,0,50,26-80-10
8,1213-051,2,Home Depot,Vacuum & Garbage can,LS,0,0,151.47,01-52-25
8,1213-052,1,Heritage Office Furnishings Ltd.,2 tables and a chair for site office ,LS,0,0,150,01-52-22
8,1213-053,1,Windsor Plywood,Plated Screws,LS,0,0,4.42,06-10-80
8,1213-053,2,Windsor Plywood,Nuts  washers  bolts,LS,0,0,9.43,06-10-80
8,1213-053,3,Windsor Plywood,Zinc chain/padlock,LS,0,0,16.53,06-10-80
8,1213-053,4,Windsor Plywood,Wire & plugs,LS,0,0,13.23,06-10-80
8,1213-053,5,Windsor Plywood,door knobs,LS,0,0,11.52,01-52-22
8,1213-053,6,Windsor Plywood,drill set  wedge anchors  flat washers,LS,0,0,45.83,01-52-22
8,1213-053,7,Windsor Plywood,redi-filler (drywall mud),LS,0,0,8.99,01-52-22
8,1213-053,8,Windsor Plywood,Pan head anchors  toggle anchors  1x3x8 MDF  delivery,LS,0,0,137,01-52-22
8,1213-053,9,Windsor Plywood,1x2 MDF return and 1x3 MDF purchased,LS,0,0,5.22,01-52-22
8,1213-053,10,Windsor Plywood,Invoice 303386 August 2014,LS,0,0,45.83,01-52-22
8,1213-054,1,McGregor & Thompson,Washroom Accessories,LS,0,0,560,10-28-15
8,1213-054,2,McGregor & Thompson,Female Symbol/Male Symbol,EA,4,14.85,59.4,10-14-70
8,1213-054,3,McGregor & Thompson,Handicap Symbol,EA,2,23.35,46.7,10-14-70
8,1213-054,4,McGregor & Thompson,"Room Description Signs 2"" x 8"" black/white",EA,0,12.25,0,10-14-70
8,1213-056,1,McRae's Environmental Services Ltd.,5830kgs oily sludge from CB's and MH's,LS,0,0,4081,02-41-13
8,1213-056,2,McRae's Environmental Services Ltd.,6hrs at $195/hr vac truck serve,LS,0,0,1170,02-41-13
8,1213-059,1,Windsor Plywood,nuts and bolts for MUA's -  Inv#300767,LS,0,0,9.43,01-52-23
8,1213-059,2,Windsor Plywood,chain and lock for side gate - Inv#301330,LS,0,0,16.53,01-52-23
8,1213-059,3,Windsor Plywood,extension cord ends - Inv#301413,LS,0,0,13.23,01-52-23
8,1213-059,4,Windsor Plywood,Brushed Nickel Knob,LS,0,0,11.52,01-52-23
8,1213-060,1,United Rentals,Skyjack,LS,0,0,266,01-54-16
8,1213-060,2,United Rentals,Delivery,LS,0,0,100,01-54-16
8,1213-060,3,United Rentals,Pick up,LS,0,0,100,01-54-16
8,1213-062,1,A&B Tool Rentals Ltd,"1/2"" Mag Drill ",LS,0,0,170.8,01-52-25
8,1213-062,2,A&B Tool Rentals Ltd,Blades,EA,3,98,294,01-52-25
8,1213-063,1,Airstream Heating and Air Conditioning Inc.,S&I balance dampers,LS,0,0,775,23-60-11
8,1213-064,1,Kipps Rubbish Removal,rubbish removal from the end of the project ,LS,0,0,249.2,01-74-13
8,1213-1-001,1,Vision West Products Ltd.,S&I 12mm tempered glass - Item 3 Quote,LS,0,0,4750,08-41-26
8,1213-1-002,1,Sandbox Sign Group Inc.,S&I graphic for glazgin,LS,0,0,1465.41,05-52-24
8,1213-1-003,1,Bomex Tile Inc.,repair tiles as requested,LS,0,0,500,09-30-60
8,1213-1-005,1,Alba Painting Ltd.,Wall repairs & painting as quote AP-075-2014,LS,0,0,1000,09-91-40
8,1214-001,1,PrecisionWerkz Inc.,S&I Millwork - Reception Desk,LS,0,0,23312.56,06-22-10
8,1216-002,1,AC Paving Co. Ltd.,S&I concrete entry/exit pads at carwash,LS,0,0,5912.17,03-31-46
8,1216-002,2,AC Paving Co. Ltd.,Extra concrete for carwash pads,LS,0,0,1107.72,03-31-46
8,1216-003,1,Dura Productions,Relocate stair to new location as per quote 10005,LS,0,0,680,05-50-10
8,1216-003,2,Dura Productions,S&I misc. steel items as per quote Sept 11 - new parts area,LS,0,0,1065,05-50-10
8,1216-004,2,Shanahan's,Supply two 3'x8' metal doors (from ILAC),LS,0,0,400,08-11-13
8,1216-005,1,Robertson Walls & Ceilings,S&I materials for parts department wall,LS,0,0,20525,09-21-17
8,1216-007,1,Ange's Plumbing Ltd.,Locate underground piping - Labour & materials,LS,0,0,1664.63,22-10-20
8,1216-008,1,A&B Tool Rentals Ltd,Fork lift - relocate stairs in parts area with Dura producti,LS,0,0,370.17,01-52-25
8,1216-008,3,A&B Tool Rentals Ltd,"14"" quick cut and jack hammer - scope above",LS,0,0,141.83,01-52-25
8,1216-008,4,A&B Tool Rentals Ltd,Credit - nylon strap returned,LS,0,0,-78,01-52-25
8,1216-008,5,A&B Tool Rentals Ltd,Mixer with paddle,LS,0,0,30.83,01-52-25
8,1216-008,6,A&B Tool Rentals Ltd,Saw - cut off gas,LS,0,0,169.6,01-52-25
8,1216-009,1,Windsor Plywood,"INV#305763 - masonry bit 13""",LS,0,0,10.49,01-52-25
8,1216-009,2,Windsor Plywood,INV#305760 - measuring tape  chalk line  assorted drill bits,LS,0,0,63.85,01-52-25
8,1216-009,3,Windsor Plywood,INV#305876 - flashlight  demo bars and 4lbs sledge,LS,0,0,106.48,01-52-25
8,1216-009,4,Windsor Plywood,INV#306303 - 2x8  2x6  nails  delivery,LS,0,0,112.63,01-52-25
8,1216-009,5,Windsor Plywood,305915,LS,0,0,6.78,01-52-23
8,1216-009,6,Windsor Plywood,306515,LS,0,0,90.15,01-52-23
8,1216-009,7,Windsor Plywood,306746,LS,0,0,98.41,01-52-23
8,1216-009,8,Windsor Plywood,306705,LS,0,0,270.51,01-52-23
8,1216-009,9,Windsor Plywood,306860,LS,0,0,13.49,01-52-23
8,1216-009,10,Windsor Plywood,307620,LS,0,0,305.4,01-52-23
8,1216-009,11,Windsor Plywood,307794,LS,0,0,168.28,01-52-23
8,1216-009,12,Windsor Plywood,307742,LS,0,0,49.32,01-52-23
8,1216-009,13,Windsor Plywood,307741,LS,0,0,221.72,01-52-23
8,1216-009,14,Windsor Plywood,306705,LS,0,0,270.51,01-52-23
8,1216-010,1,PK Metal Works,S&I steel for opening to S. Bldg,LS,0,0,2698.46,05-10-10
8,1216-010,2,PK Metal Works,Additional S&I struct steel to opening in lue of grout ,LS,0,0,1289.09,05-10-10
8,1216-011,1,Home Depot,7013636,LS,0,0,452.75,01-52-23
8,1216-011,2,Home Depot,NULL,LS,0,0,379,01-52-23
8,1216-011,3,Home Depot,General Conditions,LS,0,0,11.91,01-52-23
